from,to,from_sign,to_sign,note
s01,s06,decrease,increase,Decreasing sea ice allows for more light penetration
s01,s12,decrease,decrease,
s01,s11,decrease,complex,
s04,s01,increase,decrease,AW inlfow melts sea ice more rapidly
s16,s01,increase,decrease,AW inlfow melts sea ice more rapidly
s02,s03,decrease,increase,
s02,s11,decrease,complex,
s02,s15,decrease,increase,
s02,s19,decrease,decrease,
s03,s04,increase,increase,
s03,s05,increase,decrease,
s03,s06,increase,decrease,
s03,s07,increase,increase,
s03,s08,increase,increase,
s03,s19,increase,decrease,
s15,s04,increase,increase,
s16,s04,increase,increase,
s01,s04,decrease,increase,
s17,s05,increase,decrease,
s05,s11,decrease,complex,
s06,s11,complex,complex,
s06,s10,complex,complex,
s18,s06,increase,decrease,
s15,s07,increase,increase,
s07,s11,increase,decrease,
s15,s08,increase,increase,
s19,s08,increase,increase,
s04,s09,increase,increase,
s06,s09,complex,complex,
s08,s09,increase,increase,
s09,s10,increase,increase,
s16,s10,increase,increase,
s04,s10,increase,increase,
s05,s10,decrease,decrease,
s01,s10,decrease,increase,
s04,s11,increase,complex,
s10,s11,increase,increase,
s14,s11,increase,decrease,
s12,s13,increase,decrease,
s12,s14,increase,decrease,
s12,s15,increase,decrease,
s12,s12,complex,complex,
s13,s08,increase,increase,
s13,s06,increase,increase,
s13,s11,increase,complex,
s14,s10,increase,decrease,
