id ,driver,category,cat_num,level
s01,sea ice,cryosphere,1,key
s02,glacier mass balance,cryosphere,1,key
s03,glacial + riverine discharge,cryosphere,1,key
s04,sea water temperature,physics,2,key
s05,salinity,physics,2,key
s06,light,physics,2,key
s07,carbonate system,chemistry,3,key
s08,nutrients,chemistry,3,key
s09,primary production,biology,4,key
s10,biomass,biology,4,key
s11,species richness,biology,4,key
s12,governance,social,5,key
s13,tourism,social,5,key
s14,fisheries,social,5,key
s15,anthropogenic CO2 emissions,chemistry,3,external
s16,AW inflow,physics,2,external
