/* DATA DESCRIPTION:
Citation:	International Hydrographic Organization, IHO; Sieger, Rainer (2012): Limits of oceans and seas in digitized, machine readable form. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.777975
Related to:	International Hydrographic Organization, IHO (1953): Limits of Oceans and Seas. International Hydrographic Organization, Special Publication No 23, 3rd Edition, IMP, Monégasque - Monte-Carlo, 45 pp, hdl:10013/epic.37175.d001
Other version:	KML file containing the polygons of Oceans and Seas (URI: hdl:10013/epic.37175.d016)
Coverage:	MEDIAN LATITUDE: 22.632368 * MEDIAN LONGITUDE: 42.076221 * SOUTH-BOUND LATITUDE: -78.920994 * WEST-BOUND LONGITUDE: -179.998993 * NORTH-BOUND LATITUDE: 90.000000 * EAST-BOUND LONGITUDE: 179.998993
Comment:	This dataset is the digitized version of the printed "Limits of Oceans and Seas" (IHO, 1953). The report describes the boundaries of 148 oceans and seas. The given positions were typed into a spreadsheet and were completed to a right ordered polygon by hand using Google Earth. The dataset consists of five columns. The first column contains the name of the ocean or sea, column 2 and 3 contain the position of each polygon point (latitude, longitude). Column 4 contains an area index, column 5 a polygon index. These two indices structurize the dataset.
	The other version link provides a Google Earth layer in KML format (zipped). This layer consists of all polygons and names of oceans or seas at area centroid position given in dataset doi:10.1594/PANGAEA.777976.
Parameter(s):	Name (Name) * COMMENT: of ocean or sea
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Index (Index) * COMMENT: of ocean or sea
	Index (Index) * COMMENT: polygon position
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	7629 data points
*/
Name (of ocean or sea)	Latitude	Longitude	Index (of ocean or sea)	Index (polygon position)
Torres Strait	-10.98330	142.12601	260002040	1
Torres Strait	-9.12917	141.01700	260002040	2
Torres Strait	-9.10000	142.80000	260002040	3
Torres Strait	-9.37917	142.80000	260002040	4
Torres Strait	-10.31390	142.68300	260002040	5
Torres Strait	-10.68890	142.52901	260002040	6
Torres Strait	-11.00000	142.32900	260002040	7
Torres Strait	-10.98330	142.12601	260002040	8
Tasman Sea	-30.00000	150.00000	260002039	1
Tasman Sea	-30.00000	159.10001	260002039	2
Tasman Sea	-29.03330	167.95000	260002039	3
Tasman Sea	-34.42360	172.68100	260002039	4
Tasman Sea	-39.24240	176.47800	260002039	5
Tasman Sea	-41.61250	175.29201	260002039	6
Tasman Sea	-41.73330	174.27499	260002039	7
Tasman Sea	-46.65280	168.40800	260002039	8
Tasman Sea	-48.00830	166.56700	260002039	9
Tasman Sea	-53.00000	162.00000	260002039	10
Tasman Sea	-43.64170	146.82500	260002039	11
Tasman Sea	-40.99170	148.34399	260002039	12
Tasman Sea	-40.43750	148.48300	260002039	13
Tasman Sea	-40.29170	148.33299	260002039	14
Tasman Sea	-40.20420	148.33299	260002039	15
Tasman Sea	-39.78330	148.00700	260002039	16
Tasman Sea	-39.65000	148.00700	260002039	17
Tasman Sea	-37.50420	149.97800	260002039	18
Tasman Sea	-30.00000	150.00000	260002039	19
Solomon Sea	-4.20833	152.67799	260002038	1
Solomon Sea	-4.85000	152.88300	260002038	2
Solomon Sea	-5.01111	154.61700	260002038	3
Solomon Sea	-5.41900	154.60899	260002038	4
Solomon Sea	-6.71000	155.88500	260002038	5
Solomon Sea	-6.64500	156.44800	260002038	6
Solomon Sea	-7.33200	157.27000	260002038	7
Solomon Sea	-7.35400	158.13499	260002038	8
