site,site_long,site_alt
disko,Qeqertarsuup Tunua,Aasiaat
NA,NA,Agder
NA,NA,Akkerhaug
NA,NA,Aksdal
NA,NA,Algarheim
green,green,All Greenland
NA,NA,Alnes
NA,NA,Alsvåg
NA,NA,Alta
NA,NA,Alternes
NA,NA,Alvdal
NA,NA,Alver
NA,NA,Amtmannsnes
NA,NA,Andebu
NA,NA,Andenes
NA,NA,Andenes Andøya
NA,NA,Andselv
NA,NA,Andslimoen
NA,NA,Anglavika
NA,NA,Arendal
NA,NA,Arna
NA,NA,Ask (Askøy)
NA,NA,Ask (Gjerdrum)
NA,NA,Askgrenda
NA,NA,Askim
NA,NA,Askje
NA,NA,Askvoll
NA,NA,Askøy
NA,NA,Aukra
NA,NA,Aulifeltet
NA,NA,Aurdal
NA,NA,Aure
NA,NA,Aurlandsvangen
NA,NA,Aursmoen
NA,NA,Austmarka
NA,NA,Austmarka (Kongsvinger)
NA,NA,Austnes
NA,NA,Austreim
NA,NA,Austrheim
NA,NA,Ausvika
NA,NA,Avaldsnes
disko,Qeqertarsuup Tunua,Avannaata Kommunia
disko,Qeqertarsuup Tunua,Avannaata Kommunia and Kommune Qeqertalik
NA,NA,Bagn
NA,NA,Balestrand
NA,NA,Ballangen
NA,NA,Ballstad
NA,NA,Bangsund
NA,NA,Bardufoss
nor,nor,Barents Sea
nor,nor,Barents sea
NA,NA,Barkåker
NA,NA,Batnfjordsøra
NA,NA,Beisfjord
NA,NA,Beitostølen
NA,NA,Bekkelaget
NA,NA,Bekkjarvik
NA,NA,Berg
NA,NA,Bergen
NA,NA,Bergen Flesland
NA,NA,Berger
NA,NA,Bergesiden
NA,NA,Bergset
NA,NA,Bergsida
NA,NA,Bergsmo
NA,NA,Berkåk
NA,NA,Berlevåg
NA,NA,Binde
NA,NA,Biri
NA,NA,Birkeland
NA,NA,Bismo
NA,NA,Bjerka
NA,NA,Bjerkeskaug
NA,NA,Bjerkvik
NA,NA,Bjerkøya
NA,NA,Bjertnestunet
NA,NA,Bjervamoen
NA,NA,Bjølstad
NA,NA,Bjørkelangen
NA,NA,Bjørnevatn
NA,NA,Bjørnli
NA,NA,Blaker
NA,NA,Blakstad
NA,NA,Bleik
NA,NA,Blomvåg
NA,NA,Blæstadgrenda
NA,NA,Bodø
NA,NA,Bogen
NA,NA,Bokn
NA,NA,Bomansvik
NA,NA,Borgen
NA,NA,Borkenes
NA,NA,Borre
NA,NA,Botngård
NA,NA,Botten
NA,NA,Bottenfjellet
NA,NA,Brandal
NA,NA,Brandbu/Jaren
NA,NA,Brandsøy
NA,NA,Braskereidfoss
NA,NA,Bratsberg
NA,NA,Brattvåg
NA,NA,Breistein
NA,NA,Breivikbotn
NA,NA,Brekstad
NA,NA,Bremanger
NA,NA,Bremsnes
NA,NA,Brennåsen
NA,NA,Bru
NA,NA,Bruflat
NA,NA,Brumunddal
NA,NA,Brunstad
NA,NA,Brusand
NA,NA,Bryggja
NA,NA,Bryne
NA,NA,Brårud
NA,NA,Brønnsletten
NA,NA,Brønnøysund
NA,NA,Brønnøysund Brønnøy
NA,NA,Brøttum
NA,NA,Bud
NA,NA,Burfjord
