category,driver,variable
bio,biomass,A. abyssi [#/m**2]
bio,biomass,A. abyssi std dev [±]
bio,biomass,A. agglutinans [%]
bio,biomass,A. alle bill l [mm]
bio,biomass,A. alle head l [mm]
bio,biomass,A. alle m [g]
bio,biomass,A. alle std dev [±] (bill length [mm])
bio,biomass,A. alle std dev [±] (head length [mm])
bio,biomass,A. alle std dev [±] (mass [g])
bio,biomass,A. alle std dev [±] (tarsus length [mm])
bio,biomass,A. alle std dev [±] (wingspan [mm])
bio,biomass,A. alle tarsus l [mm]
bio,biomass,A. alle wing [mm]
bio,biomass,A. alpina [%]
bio,biomass,A. apollinis [#/m**2]
bio,biomass,A. apollinis std dev [±]
bio,biomass,A. arctica [#]
bio,biomass,A. arctica [%]
bio,biomass,A. crepidulus [%]
bio,biomass,A. digitale [#/m**3]
bio,biomass,A. esculenta biom wm [g/m**2]
bio,biomass,A. excavata [#]
bio,biomass,A. foliaceoum [%]
bio,biomass,A. gallowayi [%]
bio,biomass,A. gibbosa [%]
bio,biomass,A. glacialis l [mm]
bio,biomass,A. glacialis m [g]
bio,biomass,A. glacialis std dev [±] (TL)
bio,biomass,A. glacialis std dev [±] (d13C)
bio,biomass,A. glacialis std dev [±] (d15N)
bio,biomass,A. glacialis std dev [±] (mass)
bio,biomass,A. glacialis std dev [±] (proportion stom cont)
bio,biomass,A. glacialis stomach cont [%] ((prey no.)/(total no. of prey...)
bio,biomass,A. glacialis stomach cont [%] (frequency of occurrence)
bio,biomass,A. glacialis δ13C t [‰]
bio,biomass,A. glacialis δ15N t [‰]
bio,biomass,A. glomerata [%]
bio,biomass,A. glomerulans [%]
bio,biomass,A. jutlandica [#]
bio,biomass,A. longipes [#/m**2]
bio,biomass,A. longipes [%]
bio,biomass,A. longiremis C [µg/m**3]
bio,biomass,A. longiremis [#/m**3]
bio,biomass,A. longiremis c4 [#/m**3]
bio,biomass,A. longiremis c5 C [mg/m**3] (Average)
bio,biomass,A. longiremis c5 [#/m**3]
bio,biomass,A. longiremis c5 l [mm] (Average)
bio,biomass,A. longiremis f C [mg/m**3] (Average)
bio,biomass,A. longiremis f [#/m**3]
bio,biomass,A. longiremis f l [mm] (Average)
bio,biomass,A. longiremis m C [mg/m**3] (Average)
bio,biomass,A. longiremis m l [mm] (Average)
bio,biomass,A. minor [#/m**2]
bio,biomass,A. minor std dev [±]
bio,biomass,A. minutum [%]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Central Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Lower Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Inner Upper Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (0 year segment - Outer Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Central Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Lower Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Inner Upper Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [Avg cm]
