meta_idx,date_accessed,Error,parent_doi,URL,citation
1,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882138,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
2,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882139,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
3,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882140,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
4,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882141,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
5,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882142,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
6,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882143,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
7,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882144,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
8,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882145,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
9,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882146,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
10,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882147,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
11,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.882174,https://doi.org/10.1594/PANGAEA.882148,"Amundsen Science Data Collection (2017): Moving Vessel Profiling (MVP) data collected by the CCGS Amundsen in the Canadian Arctic. ArcticNet Inc., Québec, Canada, PANGAEA, https://doi.org/10.1594/PANGAEA.882174"
