meta_idx,date_accessed,Error,parent_doi,URL,citation,meta_cols,removed_cols
1,2024-02-06,None,10.1594/PANGAEA.945341,https://doi.org/10.1594/PANGAEA.945341,"Bartsch, Inka; Paar, Martin; Fredriksen, Stein; Schwanitz, Max; Daniel, Claudia; Hop, Haakon; Wiencke, Christian (2022): PAR measurements at Hansneset, Kongsfjorden, above and below kelp canopies from 2012 to 2013. PANGAEA, https://doi.org/10.1594/PANGAEA.945341",Longitude; Latitude; Date/Time; Depth water [m],Comment
2,2024-02-06,No columns with data,10.1594/PANGAEA.786649,https://doi.org/10.1594/PANGAEA.786649,"Becker, Sara; Halsall, Crispin J; Tych, Wlodek; Kallenborn, Roland; Su, Yushan; Hung, Hayley (2008): (Table 1) Annual mean concentrations of atmospheric a- and g-Hexachlorocyclohexane at stations Alert, Canada and Zeppelin, Norway. PANGAEA, https://doi.org/10.1594/PANGAEA.786649, Supplement to: Becker, S et al. (2008): Long-term trends in atmospheric concentrations of a- and g-HCH in the Arctic provide insight into the effects of legislation and climatic fluctuations on contaminant levels. Atmospheric Environment, 42(35), 8225-8233, https://doi.org/10.1016/j.atmosenv.2008.07.058",NA,NA
3,2024-02-06,None,10.1594/PANGAEA.57413,https://doi.org/10.1594/PANGAEA.57413,"Bennett, Matthew R (2000): Glacier front fluctuations (fig 2). PANGAEA, https://doi.org/10.1594/PANGAEA.57413",Longitude; Latitude,Age [ka BP]; Age [a AD]
4,2024-02-06,None,10.1594/PANGAEA.846952,https://doi.org/10.1594/PANGAEA.846952,"Bick, Andreas; Arlt, Günter (2005): (Table 1) Abiotic parameters of eulittoral sites in Kongsfjorden, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846952, In supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",Longitude; Latitude; Date/Time; Depth water [m],Event; ID; Depth top [m]; Depth bot [m]; Sediment; Water wm [%]; Water std dev [±]; OM [%]; OM std dev [±]; >2 mm [%]; 2.0-1.0 mm [%]; 1-0.5 mm [%]; 500-250 µm [%]; 250-125 µm [%]; 125-63 µm [%]; <63 µm [%]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
5,2024-02-06,Multiple columns with same name,10.1594/PANGAEA.846954,https://doi.org/10.1594/PANGAEA.846954,"Bick, Andreas; Arlt, Günter (2005): (Table 2) Abundances, dominance and diversity of benthic macrofauna sampled in Kongsfjord, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846954, In supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",NA,NA
6,2024-02-06,None,10.1594/PANGAEA.846956,https://doi.org/10.1594/PANGAEA.846956,"Bick, Andreas; Arlt, Günter (2005): (Table 3) Abundances, dominance and diversity of benthic meiofauna sampled in Kongsfjord, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846956, In supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",Longitude; Latitude; DATE/TIME; Depth water [m],"Event; ID; Depth top [m]; Depth bot [m]; Turbellaria [#/m**2]; Std dev [±] (Turbellaria); Turbellaria [%]; Nematoda [#/m**2]; Std dev [±] (Nematoda); Nematoda [%]; Oligochaeta [#/m**2]; Std dev [±] (Oligochaeta); Oligochaeta [%]; Halacarida [#/m**2]; Std dev [±] (Halacarida); Halacarida [%]; Ostrac [#/m**2]; Std dev [±] (Ostracoda); Ostrac [%]; Harpacticoida [#/m**2]; Std dev [±] (Harpacticoida); Harpacticoida [%]; Meiofauna [#/m**2]; Std dev [±] (Meiofauna, abundance); Meiofauna [%]; Std dev [±] (Danielssenia typica); Std dev [±] (Harpacticus uniremis); Std dev [±] (Harpacticus sp. juv.); Std dev [±] (Microarthridion sp.); Std dev [±] (Thompsonula hyaenae); Tachidiidae [#/m**2] (juveniles); Std dev [±] (Tachidiidae juv.); Tachidiidae [%] (juveniles); Std dev [±] (Ectinosoma melaniceps); Std dev [±] (Halectinosoma gothiceps); Std dev [±] (Halectinosoma neglectum); Std dev [±] (Halectinosoma sp.); Std dev [±] (Microsetella norvegica); Ectinosomidae [#/m**2] (juveniles); Std dev [±] (Ectinosomidae juv.); Ectinosomidae [%] (juveniles); Tisbidae [#/m**2] (juveniles); Std dev [±] (Tisbidae juv.); Tisbidae [%] (juveniles); Thalestridae [#/m**2] (juveniles); Std dev [±] (Thalestridae juv.); Thalestridae [%] (juveniles); Std dev [±] (Stenhelia cf. cornuta); Std dev [±] (Stenhelia sp. juv.); Std dev [±] (Robertgurneya cf. similis); Std dev [±] (Ameira longipes); Std dev [±] (Proameira simplex); Ameiridae [#/m**2] (juveniles); Std dev [±] (Ameiridae juv.); Ameiridae [%] (juveniles); Std dev [±] (Mesochra pygmaea); Canthocamptidae [#/m**2] (juveniles); Std dev [±] (Canthocamptidae juv.); Canthocamptidae [%] (juveniles); Harpacticoida indet [#/m**2] (juveniles); Std dev [±] (Harpacticoida indeterminata juv.); Harpacticoida [#/m**2] (total); Std dev [±] (Harpacticoida total); Harpacticoida [%] (total); Taxa [#]; H(S); LONGITUDE; LATITUDE; DEPTH"
7,2024-02-06,None,10.1594/PANGAEA.846957,https://doi.org/10.1594/PANGAEA.846952,"Bick, Andreas; Arlt, Günter (2005): Abiotic parameters and abundances, dominance and diversity of benthic macro- and meiofauna in Kongsfjord, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846957, Supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",Longitude; Latitude; Date/Time; Depth water [m],Event; ID; Depth top [m]; Depth bot [m]; Sediment; Water wm [%]; Water std dev [±]; OM [%]; OM std dev [±]; >2 mm [%]; 2.0-1.0 mm [%]; 1-0.5 mm [%]; 500-250 µm [%]; 250-125 µm [%]; 125-63 µm [%]; <63 µm [%]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
8,2024-02-06,Multiple columns with same name,10.1594/PANGAEA.846957,https://doi.org/10.1594/PANGAEA.846954,"Bick, Andreas; Arlt, Günter (2005): Abiotic parameters and abundances, dominance and diversity of benthic macro- and meiofauna in Kongsfjord, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846957, Supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",NA,NA
9,2024-02-06,None,10.1594/PANGAEA.846957,https://doi.org/10.1594/PANGAEA.846956,"Bick, Andreas; Arlt, Günter (2005): Abiotic parameters and abundances, dominance and diversity of benthic macro- and meiofauna in Kongsfjord, Spitsbergen. PANGAEA, https://doi.org/10.1594/PANGAEA.846957, Supplement to: Bick, A; Arlt, G (2005): Intertidal and subtidal soft-bottom macro- and meiofauna of the Kongsfjord (Spitsbergen). Polar Biology, 28(7), 550-557, https://doi.org/10.1007/s00300-004-0710-5",Longitude; Latitude; DATE/TIME; Depth water [m],"Event; ID; Depth top [m]; Depth bot [m]; Turbellaria [#/m**2]; Std dev [±] (Turbellaria); Turbellaria [%]; Nematoda [#/m**2]; Std dev [±] (Nematoda); Nematoda [%]; Oligochaeta [#/m**2]; Std dev [±] (Oligochaeta); Oligochaeta [%]; Halacarida [#/m**2]; Std dev [±] (Halacarida); Halacarida [%]; Ostrac [#/m**2]; Std dev [±] (Ostracoda); Ostrac [%]; Harpacticoida [#/m**2]; Std dev [±] (Harpacticoida); Harpacticoida [%]; Meiofauna [#/m**2]; Std dev [±] (Meiofauna, abundance); Meiofauna [%]; Std dev [±] (Danielssenia typica); Std dev [±] (Harpacticus uniremis); Std dev [±] (Harpacticus sp. juv.); Std dev [±] (Microarthridion sp.); Std dev [±] (Thompsonula hyaenae); Tachidiidae [#/m**2] (juveniles); Std dev [±] (Tachidiidae juv.); Tachidiidae [%] (juveniles); Std dev [±] (Ectinosoma melaniceps); Std dev [±] (Halectinosoma gothiceps); Std dev [±] (Halectinosoma neglectum); Std dev [±] (Halectinosoma sp.); Std dev [±] (Microsetella norvegica); Ectinosomidae [#/m**2] (juveniles); Std dev [±] (Ectinosomidae juv.); Ectinosomidae [%] (juveniles); Tisbidae [#/m**2] (juveniles); Std dev [±] (Tisbidae juv.); Tisbidae [%] (juveniles); Thalestridae [#/m**2] (juveniles); Std dev [±] (Thalestridae juv.); Thalestridae [%] (juveniles); Std dev [±] (Stenhelia cf. cornuta); Std dev [±] (Stenhelia sp. juv.); Std dev [±] (Robertgurneya cf. similis); Std dev [±] (Ameira longipes); Std dev [±] (Proameira simplex); Ameiridae [#/m**2] (juveniles); Std dev [±] (Ameiridae juv.); Ameiridae [%] (juveniles); Std dev [±] (Mesochra pygmaea); Canthocamptidae [#/m**2] (juveniles); Std dev [±] (Canthocamptidae juv.); Canthocamptidae [%] (juveniles); Harpacticoida indet [#/m**2] (juveniles); Std dev [±] (Harpacticoida indeterminata juv.); Harpacticoida [#/m**2] (total); Std dev [±] (Harpacticoida total); Harpacticoida [%] (total); Taxa [#]; H(S); LONGITUDE; LATITUDE; DEPTH"
10,2024-02-06,None,10.1594/PANGAEA.936272,https://doi.org/10.1594/PANGAEA.936272,"Boike, Julia; Bornemann, Niko; Cable, William L; Grünberg, Inge; Lange, Stephan (2021): Meteorological observations at Bayelva Station in 2020 (level 1). PANGAEA, https://doi.org/10.1594/PANGAEA.936272, In: Boike, Julia; Grünberg, Inge; Miesner, Frederieke; Bornemann, Niko; Cable, William L (2022): Continuous measurements in soil and air at the permafrost long-term observatory at the Bayelva station near Ny-Ålesund (2018 et seq). PANGAEA, https://doi.org/10.1594/PANGAEA.948951",Longitude; Latitude; Date/Time (UTC),"TTT [°C] (at 200 cm height); Flag (Temperature, air, 200 cm); Precip [mm]; Flag (Precipitation); RH [%] (at 200 cm height); Flag (Humidity, relative, 200 cm); NET [W/m**2]; Flag (Net radiation); SWD [W/m**2]; Flag (Short-wave downward (GLOBAL) ...); SWU [W/m**2]; Flag (Short-wave upward (REFLEX) ra...); LWD [W/m**2]; Flag (Long-wave downward radiation); LWU [W/m**2]; Flag (Long-wave upward radiation); ff [m/s] (at 200 cm height); Flag (Wind speed, 200 cm); dd [deg] (at 200 cm height); Flag (Wind direction, 200 cm); dd std dev [±]; Flag (Wind direction, standard devi...); Flag (Snow height, profile a); Flag (Snow height, profile b); Permittivity rel; Flag (Permittivity); TTT [°C] (at 5 cm height); Flag (Temperature, air, 5 cm); TTT [°C] (at 20 cm height); Flag (Temperature, air, 20 cm); TTT [°C] (at 100 cm height); Flag (Temperature, air, 100 cm)"
