meta_idx,date_accessed,Error,parent_doi,URL,citation
1,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.772489,https://doi.org/10.1594/PANGAEA.772489,"Anonymous (2001): Hydrochemistry measured on water bottle samples during cruise SEVER30. PANGAEA, https://doi.org/10.1594/PANGAEA.772489, In: Nikiforov, Sergey L; Colony, Roger; Timokhov, Leonid (2001): Hydrochemical Atlas of the Arctic Ocean. Arctic and Antarctic Research Institute of the Russian Federal Service for Hydrometeorology and Environmental Monitoring, International Arctic Research Center, University of Alaska, Fairbanks, St. Petersburg, PANGAEA, https://doi.org/10.1594/PANGAEA.691332"
2,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.675509,https://doi.org/10.1594/PANGAEA.675509,"Augstein, Ernst; Rohardt, Gerd (2008): Continuous thermosalinograph oceanography along POLARSTERN cruise track ARK-XII. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.675509"
3,2023-04-03,No data in DOI reference,10.1594/PANGAEA.907273,https://doi.org/10.1594/PANGAEA.907270,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273"
4,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.907273,https://doi.org/10.1594/PANGAEA.907257,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273"
5,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.907257,https://doi.org/10.1594/PANGAEA.907257,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes, data sheet. PANGAEA, https://doi.org/10.1594/PANGAEA.907257, In: Bajnai, D et al. (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273"
6,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.901825,https://doi.org/10.1594/PANGAEA.901825,"Baranowski, Ulrike Katharina (2019): Test-size diameters of 36 extant planktonic foraminiferal species, global oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.901825, Supplement to: Baranowski, UK (2013): Phylogenetic significance of test morphology and ultrastructure in recent planktonic Foraminifera inferred from cladistic analyses. Eberhard Karls University Tübingen, 1-99"
7,2023-04-03,None,10.1594/PANGAEA.787102,https://doi.org/10.1594/PANGAEA.787102,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): (Table 3) Relative abundance of Azolla spp., peridinoid dinocysts, gonyaulacoid dinocysts, non-saccate pollen, bisaccate pollen and spores from the Lomonosov Ridge during different Arctic coring expeditions. PANGAEA, https://doi.org/10.1594/PANGAEA.787102, In supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002"
8,2023-04-03,None,10.1594/PANGAEA.787105,https://doi.org/10.1594/PANGAEA.787102,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): Freshwater fern Azolla in and around Arctic and Nordic seas. PANGAEA, https://doi.org/10.1594/PANGAEA.787105, Supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002"
9,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.787105,https://doi.org/10.1594/PANGAEA.787096,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): Freshwater fern Azolla in and around Arctic and Nordic seas. PANGAEA, https://doi.org/10.1594/PANGAEA.787105, Supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002"
10,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.775207,https://doi.org/10.1594/PANGAEA.775207,"Baturin, Gleb N (1975): (Table 36) Chemical and radiochemical compositions of Fe-Mn nodules from seas and oceans. P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, PANGAEA, https://doi.org/10.1594/PANGAEA.775207, In supplement to: Baturin, GN (1975): Uran v Sovremennom Morskom Osadkoobrazovanii (Uranium in recent marine sedimentation). Atomizdat (Moscow), 152 pp"
11,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85209,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
12,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85202,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
13,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85201,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
14,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85190,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
15,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.56145,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
16,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.56144,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995"
