"Category","Driver","Variable","Name"
"biology","biomass","Aglantha digitale; 5 gte [ind/m3]",
"biology","biomass","Beroe cucumis [ind/m3]",
"biology","biomass","Bivalvia - veliger [ind/m3]",
"biology","biomass","Calanus finmarchicus - CI [ind/m3]",
"biology","biomass","Calanus finmarchicus - CII [ind/m3]",
"biology","biomass","Calanus finmarchicus - CIII [ind/m3]",
"biology","biomass","Calanus finmarchicus - CIV [ind/m3]",
"biology","biomass","Calanus finmarchicus - CV [ind/m3]",
"biology","biomass","Calanus glacialis - CII [ind/m3]",
"biology","biomass","Calanus glacialis - CIII [ind/m3]",
"biology","biomass","Calanus glacialis - CIV [ind/m3]",
"biology","biomass","Calanus glacialis - CV [ind/m3]",
"biology","biomass","Calanus hyperboreus - CIV [ind/m3]",
"biology","biomass","Cirripedia - cypris [ind/m3]",
"biology","biomass","Copepoda - nauplii [ind/m3]",
"biology","biomass","Euphausiacea - larvae furcilia; 5 gte [ind/m3]",
"biology","biomass","Euphausiacea - larvae furcilia; 5 lt [ind/m3]",
"biology","biomass","Hyas - zoea [ind/m3]",
"biology","biomass","Limacina helicina - veliger [ind/m3]",
"biology","biomass","Metridia longa - CI [ind/m3]",
"biology","biomass","Oikopleura spp.; 10 gte [ind/m3]",
"biology","biomass","Oikopleura spp.; 5 gte [ind/m3]",
"biology","biomass","Oikopleura spp.; 5 lt [ind/m3]",
"biology","biomass","Oithona similis [ind/m3]",
"biology","biomass","Parasagitta elegans; 10 gte [ind/m3]",
"biology","biomass","Parasagitta elegans; 20 gte [ind/m3]",
"biology","biomass","Parasagitta elegans; 5 gte [ind/m3]",
"biology","biomass","Pseudocalanus spp. - CI [ind/m3]",
"biology","biomass","Pseudocalanus spp. - CII [ind/m3]",
"biology","biomass","Pseudocalanus spp. - CIII [ind/m3]",
"biology","biomass","Pseudocalanus spp. - CIV [ind/m3]",
"biology","biomass","Pseudocalanus spp. - CV [ind/m3]",
"biology","biomass","Acartia longiremis [ind/m3]",
"biology","biomass","Bopyridae [ind/m3]","Bopyridae"
"biology","biomass","Halitholus cirratus cf. [ind/m3]",
"biology","biomass","Metridia longa - CII [ind/m3]",
"biology","biomass","Parasagitta elegans; 5 lt [ind/m3]",
"biology","biomass","Polychaeta - larvae metatrochophora [ind/m3]",
"biology","biomass","Polychaeta - larvae mitraria [ind/m3]",
"biology","biomass","Polychaeta - larvae trochophora [ind/m3]",
"biology","biomass","Themisto abyssorum; 5 gte [ind/m3]",
"biology","biomass","Themisto abyssorum; 5 lt [ind/m3]",
"biology","biomass","Calanus finmarchicus - AF [ind/m3]",
"biology","biomass","Calanus hyperboreus - CIII [ind/m3]",
"biology","biomass","Evadne nordmanni [ind/m3]",
"biology","biomass","Hydrozoa - larvae [ind/m3]",
"biology","biomass","Microcalanus spp. [ind/m3]","Microcalanus spp."
"biology","biomass","Pseudocalanus acuspes - AF [ind/m3]",
"biology","biomass","Triconia borealis (=Oncaea borealis) - AF/AM [ind/m3]",
"biology","biomass","Mertensia ovum [ind/m3]","Mertensia ovum"
"biology","biomass","Oithona atlantica [ind/m3]",
"biology","biomass","Themisto libellula; 5 gte [ind/m3]",
"biology","biomass","Themisto libellula; 5 lt [ind/m3]",
"biology","biomass","Calanus glacialis - CI [ind/m3]",
"biology","biomass","Echinodermata - larvae [ind/m3]",
"biology","biomass","Pagurus - zoea [ind/m3]",
"biology","biomass","Calanus glacialis - AF [ind/m3]",
"biology","biomass","Pseudocalanus minutus - AF [ind/m3]",
"biology","biomass","Eukrohnia hamata; 10 gte [ind/m3]",
"biology","biomass","Eukrohnia hamata; 5 gte [ind/m3]",
"biology","biomass","Gastropoda - veliger [ind/m3]",
"biology","biomass","Metridia longa - CIII [ind/m3]",
"biology","biomass","Metridia longa - CIV [ind/m3]",
"biology","biomass","Metridia longa - CV [ind/m3]",
"biology","biomass","Thysanoessa inermis [ind/m3]",
"biology","biomass","Bougainvillia spp. [ind/m3]","Bougainvillia spp."
"biology","biomass","Halitholus pauper cf. [ind/m3]",
"biology","biomass","Hyas - megalopa [ind/m3]",
"biology","biomass","Limacina helicina; 5 lt [ind/m3]",
"biology","biomass","Clione limacina - veliger [ind/m3]",
"biology","biomass","Metridia longa - AF [ind/m3]",
"biology","biomass","Aetideidae - CI-CIII [ind/m3]",
"biology","biomass","Bradyidius similis [ind/m3]",
"biology","biomass","Metridia longa - AM [ind/m3]",
"biology","biomass","Ostracoda; 1 gte [ind/m3]",
"biology","biomass","Pseudocalanus spp. - AM [ind/m3]",
"biology","biomass","Aglantha digitale; 5 lt [ind/m3]",
"biology","biomass","Clione limacina; 5 gte [ind/m3]",
"biology","biomass","Pandalus borealis - zoea [ind/m3]",
"biology","biomass","Fritillaria borealis [ind/m3]",
"biology","biomass","Calanus hyperboreus - CV [ind/m3]",
"biology","biomass","Paraeuchaeta spp. - CIV [ind/m3]",
"biology","biomass","Limacina helicina; 5 gte [ind/m3]",
"biology","biomass","Oikopleura spp.; 20 gte [ind/m3]",
"biology","biomass","Aetideidae - CIV [ind/m3]",
"biology","biomass","Calanus hyperboreus - AF [ind/m3]",
"biology","biomass","Eukrohnia hamata; 20 gte [ind/m3]",
"biology","biomass","Hyperiidae indet. [ind/m3]",
"biology","biomass","Eukrohnia sp.; 10 gte [ind/m3]",
"biology","biomass","Polychaeta - larvae secondary [ind/m3]",
"biology","biomass","Polychaeta indet. [ind/m3]",
"biology","biomass","Microsetella norvegica [ind/m3]",
"biology","biomass","Cirripedia - nauplii [ind/m3]",
"biology","biomass","Calanus finmarchicus - AM [ind/m3]",
"biology","biomass","Calanus glacialis - AM [ind/m3]",
"biology","biomass","Calanus hyperboreus - CII [ind/m3]",
"biology","biomass","Calanus hyperboreus - CI [ind/m3]",
"biology","biomass","Aetideidae [ind/m3]","Aetideidae"
"biology","biomass","Aetideopsis rostrata [ind/m3]",
"biology","biomass","Aglantha digitale [ind/m3]",
"biology","biomass","Bivalvia [ind/m3]","Bivalvia"
"biology","biomass","Calanoida [ind/m3]","Calanoida"
"biology","biomass","Chiridius obtusifrons [ind/m3]",
"biology","biomass","Clione limacina [ind/m3]",
"biology","biomass","Ctenophora [ind/m3]","Ctenophora"
"biology","biomass","Cyclopina schneideri [ind/m3]",
"biology","biomass","Decapoda - zoea [ind/m3]",
"biology","biomass","Decapoda [ind/m3]","Decapoda"
"biology","biomass","Eukrohnia hamata [ind/m3]",
"biology","biomass","Gaetanus brevispinus [ind/m3]",
"biology","biomass","Gaetanus tenuispinus [ind/m3]",
"biology","biomass","Gammarus wilkitzkii [ind/m3]",
"biology","biomass","Heterorhabdus norvegicus [ind/m3]",
"biology","biomass","Hydrozoa indet. [ind/m3]",
"biology","biomass","Isopoda [ind/m3]","Isopoda"
"biology","biomass","Limacina helicina [ind/m3]",
"biology","biomass","Meganyctiphanes norvegica [ind/m3]",
"biology","biomass","Oikopleura spp. [ind/m3]","Oikopleura spp."
"biology","biomass","Onisimus spp. [ind/m3]","Onisimus spp."
"biology","biomass","Ostracoda [ind/m3]","Ostracoda"
"biology","biomass","Paraeuchaeta barbata [ind/m3]",
"biology","biomass","Paraeuchaeta glacialis - AF [ind/m3]",
"biology","biomass","Paraeuchaeta norvegica - AF [ind/m3]",
"biology","biomass","Paraeuchaeta spp. [ind/m3]","Paraeuchaeta spp."
"biology","biomass","Parasagitta elegans [ind/m3]",
"biology","biomass","Pleuromamma robusta [ind/m3]",
"biology","biomass","Pseudocalanus spp. [ind/m3]","Pseudocalanus spp."
"biology","biomass","Pseudosagitta maxima [ind/m3]",
"biology","biomass","Scaphocalanus magnus [ind/m3]",
"biology","biomass","Scolecithricella minor [ind/m3]",
"biology","biomass","Siphonophorae [ind/m3]","Siphonophorae"
"biology","biomass","Spinocalanus antarcticus [ind/m3]",
"biology","biomass","Themisto abyssorum [ind/m3]",
"biology","biomass","Themisto libellula [ind/m3]",
"biology","biomass","Thysanoessa longicaudata [ind/m3]",
"biology","biomass","Thysanoessa raschii [ind/m3]",
"biology","biomass","Triconia borealis [ind/m3]",
"biology","biomass","Aeginopsis laurentii [ind/m3]",
"biology","biomass","Aetideidae (CI-CIII) [ind/m3]",
"biology","biomass","Aetideidae (CIV) [ind/m3]",
"biology","biomass","Aetideopsis minor [ind/m3]",
"biology","biomass","Aetideus armatus [ind/m3]",
"biology","biomass","Amphipoda [ind/m3]","Amphipoda"
"biology","biomass","Apherusa glacialis [ind/m3]",
"biology","biomass","Appendicularia [ind/m3]",
"biology","biomass","Augaptilus glacialis [ind/m3]",
"biology","biomass","Beröe cucumis [ind/m3]",
"biology","biomass","Bivalvia (veliger) [ind/m3]",
"biology","biomass","Boreomysis arctica [ind/m3]",
"biology","biomass","Botrynema ellinorae [ind/m3]",
"biology","biomass","Bryozoa (larvae) [ind/m3]",
