section,sub_section,question,response
environment,Glaciers,Glacier types present in Disko Bay,Land+marine terminating
environment,Glaciers,Glacier types present in Isfjorden,Land+marine terminating
environment,Glaciers,Glacier types present in Nuup Kangerlua,Land+marine terminating
environment,Glaciers,Glacier types present in Porsangerfjorden,None
environment,Glaciers,Impact from tourism at sea,Low
environment,Glaciers,Impact from tourism on land,Low
environment,Glaciers,Main drivers,"Sea ice, Terrestrial runoff, Seawater temperature"
environment,Glaciers,Present in...,"Isfjorden, Disko Bay, Nuup Kangerlua"
environment,Glaciers,Source of knowledge,"Monitoring data, Expert knowledge, best guess"
environment,Glaciers,Touristic value,High
environment,Glaciers,Trend in Disko Bay,Decreasing
environment,Glaciers,Trend in Isfjorden,Decreasing
environment,Glaciers,Trend in Nuup Kangerlua,Decreasing
environment,Glaciers,Trend in Porsangerfjorden,Not present
environment,Pollution,Estimate in Isfjorden,"See statistical data from ""Hold Norge Rent"""
environment,Pollution,Impact from tourism at sea,Medium + increasing
environment,Pollution,Impact from tourism on land,High + increasing
environment,Pollution,Impact on tourism,High
environment,Pollution,Main drivers,"Tourism, Fisheries, Terrestrial runoff"
environment,Pollution,Present in...,"Isfjorden, Porsangerfjorden, Disko Bay, Nuup Kangerlua"
environment,Pollution,Source of knowledge,"Expert knowledge, best guess"
environment,Pollution,Trend in Disko Bay,"Unknown, Increasing"
environment,Pollution,Trend in Isfjorden,"Unknown, Increasing"
environment,Pollution,Trend in Nuup Kangerlua,"Unknown, Increasing"
environment,Pollution,Trend in Porsangerfjorden,"Unknown, Increasing"
environment,Sea ice,Extent in Disko Bay,between 30-60% approx.
environment,Sea ice,Extent in Isfjorden,20 and 40%
environment,Sea ice,Extent in Nuup Kangerlua,ca 15%
environment,Sea ice,Impact from tourism at sea,Low / High from ships
environment,Sea ice,Impact from tourism on land,Low
environment,Sea ice,Main drivers,Seawater temperature
environment,Sea ice,Present in...,"Isfjorden, Disko Bay, Nuup Kangerlua, Porsangerfjorden"
environment,Sea ice,Source of knowledge,"Monitoring data, Expert knowledge, Modelled data"
environment,Sea ice,Touristic value,High
environment,Sea ice,Trend in Disko Bay,Decreasing
environment,Sea ice,Trend in Isfjorden,Decreasing
environment,Sea ice,Trend in Nuup Kangerlua,Increasing
environment,Sea ice,Trend in Porsangerfjorden,Unknown
fishery,Catfish,Catch trend in Isfjorden,Not present
fishery,Catfish,Catch trend in Porsangerfjorden,Stable
fishery,Catfish,Could enhanced regulations affect local recreational fishers in...,Porsangerfjorden
fishery,Catfish,Effect of atlantification,Neutral
fishery,Catfish,Effect of retreating glaciers,Neutral
fishery,Catfish,Effect of retreating sea ice,Neutral
fishery,Catfish,Fishery presence in...,Porsangerfjorden
fishery,Catfish,Local interest in fishery/products in...,Porsangerfjorden
fishery,Catfish,Main biome,North Atlantic
fishery,Catfish,Main drivers,Fisheries
fishery,Catfish,Source of knowledge,Expert knowledge
fishery,Cod,Catch trend in Isfjorden,Increasing
fishery,Cod,Catch trend in Porsangerfjorden,Stable
fishery,Cod,Comment on main drivers,Fishery is the main driver for Atlantic cod
fishery,Cod,Could enhanced regulations affect local recreational fishers in...,"Isfjorden, Porsangerfjorden"
fishery,Cod,Effect of atlantification,"moving northwards, Positive"
fishery,Cod,Effect of retreating glaciers,Neutral
fishery,Cod,Effect of retreating sea ice,"Positive, Neutral"
fishery,Cod,Fishery presence in...,"Isfjorden, Porsangerfjorden"
