"Site","depth","year","week","variable","value"
"Bloomstrand_Est",0,2006,23,"sal",30
"Bloomstrand_Est",0,2006,23,"temp [°C]",3.3
"French_Bird_Cliff",0,2006,24,"sal",33
"French_Bird_Cliff",0,2006,24,"temp [°C]",2.6
"French_Bird_Cliff",0,2014,36,"sal",33.22915584415585
"French_Bird_Cliff",0,2014,36,"temp [°C]",4.603036904761905
"French_Bird_Cliff",1,2009,31,"sal",31.9411682454755
"French_Bird_Cliff",1,2009,31,"temp [°C]",3.8952
"French_Bird_Cliff",1,2014,36,"sal",33.48
"French_Bird_Cliff",1,2014,36,"temp [°C]",4.679666666666667
"French_Bird_Cliff",2,2009,31,"sal",32.288456299334115
"French_Bird_Cliff",2,2009,31,"temp [°C]",3.9238
"French_Bird_Cliff",2,2014,36,"sal",33.6025
"French_Bird_Cliff",2,2014,36,"temp [°C]",4.83225
"French_Bird_Cliff",3,2009,31,"sal",32.42982792610701
"French_Bird_Cliff",3,2009,31,"temp [°C]",3.9508
"French_Bird_Cliff",3,2014,36,"sal",33.72
"French_Bird_Cliff",3,2014,36,"temp [°C]",4.963666666666667
"French_Bird_Cliff",4,2009,31,"sal",32.5361852201942
"French_Bird_Cliff",4,2009,31,"temp [°C]",3.9701
"French_Bird_Cliff",4,2014,36,"sal",33.9
"French_Bird_Cliff",4,2014,36,"temp [°C]",5.08275
"French_Bird_Cliff",4,2018,40,"sal",32.5494
"French_Bird_Cliff",4,2018,40,"temp [°C]",1.232825
"French_Bird_Cliff",5,2009,31,"sal",32.805507356795665
"French_Bird_Cliff",5,2009,31,"temp [°C]",3.9562
"French_Bird_Cliff",5,2014,36,"sal",33.95
"French_Bird_Cliff",5,2014,36,"temp [°C]",5.143666666666666
"French_Bird_Cliff",6,2009,31,"sal",32.98340038939714
"French_Bird_Cliff",6,2009,31,"temp [°C]",4.02255
"French_Bird_Cliff",6,2014,36,"sal",34.019999999999996
"French_Bird_Cliff",6,2014,36,"temp [°C]",5.15975
"French_Bird_Cliff",7,2009,31,"sal",33.20057779525575
"French_Bird_Cliff",7,2009,31,"temp [°C]",3.8726000000000003
